zHD,EXP_FAC,MU_SH0ES,MU_SH0ES_ERR_DIAG,D_L,D_L MAX,D_L MIN,SD
0.02,0.98,34.80,0.26,91.19,102.56,81.07,10.74
0.02,0.98,35.04,0.21,101.82,112.39,92.24,10.08
0.02,0.98,34.73,0.24,88.33,98.80,78.98,9.91
0.02,0.98,34.84,0.22,93.06,103.01,84.07,9.47
0.02,0.98,34.87,0.20,94.16,103.40,85.74,8.83
0.02,0.98,34.68,0.36,86.49,102.01,73.34,14.34
0.02,0.98,35.27,0.30,113.16,130.22,98.34,15.94
0.02,0.98,34.86,0.20,93.69,102.79,85.39,8.70
0.02,0.98,35.00,0.27,99.96,113.06,88.38,12.34
0.02,0.98,34.97,0.24,98.68,110.08,88.47,10.80
0.02,0.98,34.99,0.19,99.31,108.43,90.96,8.73
0.02,0.98,34.77,0.34,89.81,105.05,76.78,14.13
0.02,0.98,35.02,0.27,101.04,114.48,89.18,12.65
0.02,0.98,34.88,0.27,94.75,107.55,83.48,12.03
0.02,0.98,34.92,0.18,96.24,104.49,88.65,7.92
0.02,0.98,35.05,0.23,102.50,113.94,92.21,10.86
0.02,0.98,34.65,0.27,85.03,96.15,75.19,10.48
0.02,0.98,34.43,0.28,76.92,87.48,67.63,9.92
0.02,0.98,34.99,0.28,99.32,113.12,87.20,12.96
0.02,0.98,35.01,0.22,100.37,111.16,90.63,10.27
0.02,0.98,34.98,0.23,99.01,109.83,89.24,10.30
0.02,0.98,34.86,0.26,93.68,105.61,83.10,11.26
0.02,0.98,34.86,0.17,93.68,101.34,86.60,7.37
0.02,0.98,34.83,0.26,92.60,104.56,82.01,11.28
0.02,0.98,34.84,0.22,92.86,102.56,84.07,9.25
0.02,0.98,35.00,0.22,99.99,110.54,90.45,10.04
0.02,0.98,35.04,0.21,101.89,112.06,92.64,9.71
0.02,0.98,34.95,0.26,97.76,110.16,86.77,11.69
0.02,0.98,34.57,0.26,82.09,92.61,72.77,9.92
0.02,0.98,34.95,0.27,97.92,111.09,86.31,12.39
0.02,0.98,34.94,0.21,97.41,107.29,88.44,9.43
0.02,0.98,34.99,0.18,99.77,108.43,91.80,8.32
0.02,0.98,34.89,0.40,95.02,114.43,78.90,17.77
0.02,0.98,34.99,0.28,99.72,113.31,87.77,12.77
0.02,0.98,34.90,0.19,95.47,104.21,87.46,8.38
0.02,0.98,35.10,0.20,104.80,114.65,95.80,9.42
0.02,0.98,35.10,0.31,104.95,121.07,90.97,15.05
0.02,0.98,34.47,0.40,78.38,94.17,65.24,14.46
0.02,0.98,34.88,0.22,94.55,104.82,85.28,9.77
0.02,0.98,34.94,0.21,97.37,107.17,88.46,9.35
0.02,0.98,35.08,0.18,103.94,113.11,95.52,8.80
0.02,0.98,35.18,0.23,108.66,120.92,97.64,11.64
0.02,0.98,35.08,0.20,103.61,113.37,94.70,9.34
0.02,0.98,34.99,0.18,99.41,108.21,91.33,8.44
0.02,0.98,34.95,0.20,97.86,107.20,89.33,8.94
0.02,0.98,35.23,0.24,111.26,123.99,99.84,12.07
0.02,0.98,35.01,0.20,100.47,110.26,91.55,9.36
0.02,0.98,35.01,0.16,100.37,108.14,93.15,7.50
0.02,0.98,35.07,0.21,103.50,114.00,93.96,10.02
0.02,0.98,34.95,0.17,97.69,105.69,90.30,7.70
0.02,0.98,35.18,0.19,108.56,118.44,99.51,9.47
0.02,0.98,35.11,0.24,105.01,117.04,94.21,11.41
0.02,0.98,35.05,0.23,102.43,113.94,92.08,10.93
0.02,0.98,34.89,0.23,95.05,105.87,85.34,10.26
0.02,0.98,34.95,0.21,97.85,107.97,88.67,9.65
0.02,0.98,34.81,0.18,91.50,99.52,84.12,7.70
0.02,0.98,34.81,0.32,91.67,106.11,79.20,13.46
0.02,0.98,35.09,0.24,104.05,116.24,93.14,11.55
0.02,0.98,35.20,0.23,109.51,121.66,98.57,11.54
0.03,0.98,35.22,0.27,110.42,124.95,97.57,13.69
0.03,0.98,34.84,0.29,92.76,105.92,81.24,12.34
0.03,0.98,34.85,0.18,93.25,101.40,85.75,7.82
0.03,0.98,35.08,0.21,103.71,114.02,94.32,9.85
0.03,0.98,35.01,0.18,100.42,108.94,92.56,8.19
0.03,0.98,35.03,0.19,101.28,110.55,92.79,8.88
0.03,0.98,34.46,0.33,77.92,90.85,66.84,12.01
0.03,0.98,34.91,0.31,96.02,110.57,83.38,13.60
0.03,0.98,35.20,0.24,109.59,122.30,98.20,12.05
0.03,0.98,35.23,0.20,111.06,122.02,101.08,10.47
0.03,0.98,35.11,0.16,105.39,113.20,98.11,7.54
0.03,0.98,35.11,0.17,105.41,114.25,97.26,8.50
0.03,0.98,34.98,0.19,99.28,108.12,91.16,8.48
0.03,0.98,34.94,0.24,97.46,108.88,87.23,10.83
0.03,0.98,34.91,0.27,95.78,108.41,84.61,11.90
0.03,0.98,35.19,0.18,109.05,118.30,100.53,8.88
0.03,0.98,35.20,0.19,109.52,119.31,100.53,9.39
0.03,0.98,35.18,0.23,108.78,121.14,97.68,11.73
0.03,0.98,35.06,0.19,102.90,112.32,94.27,9.02
0.03,0.97,34.77,0.34,89.80,105.25,76.62,14.31
0.03,0.97,35.12,0.20,105.59,115.79,96.29,9.75
0.03,0.97,35.40,0.20,120.30,131.94,109.69,11.12
0.03,0.97,35.29,0.18,114.45,124.32,105.37,9.47
0.03,0.97,35.11,0.20,105.10,115.15,95.93,9.61
0.03,0.97,34.84,0.35,92.68,108.81,78.95,14.93
0.03,0.97,35.31,0.18,115.40,125.30,106.29,9.51
0.03,0.97,35.29,0.29,114.05,130.28,99.84,15.22
0.03,0.97,35.34,0.32,117.11,135.90,100.91,17.50
0.03,0.97,35.02,0.37,101.03,119.93,85.11,17.41
0.03,0.97,35.31,0.18,115.24,125.17,106.09,9.54
0.03,0.97,35.27,0.18,113.18,123.15,104.01,9.57
0.03,0.97,35.29,0.21,114.25,125.61,103.91,10.85
0.03,0.97,35.12,0.18,105.60,114.80,97.14,8.83
0.03,0.97,35.25,0.19,112.27,122.35,103.02,9.67
0.03,0.97,35.32,0.22,116.01,128.14,105.02,11.56
0.03,0.97,35.29,0.30,114.25,131.11,99.55,15.78
0.03,0.97,35.27,0.17,113.10,122.44,104.47,8.99
0.03,0.97,35.34,0.23,117.15,130.29,105.34,12.47
0.03,0.97,35.11,0.35,105.28,123.50,89.75,16.88
0.03,0.97,35.23,0.26,111.02,125.24,98.42,13.41
0.03,0.97,35.31,0.22,115.50,127.83,104.37,11.73
0.03,0.97,35.30,0.35,115.04,135.34,97.78,18.78
0.03,0.97,35.52,0.23,127.27,141.18,114.72,13.23
0.03,0.97,35.11,0.17,105.34,114.06,97.29,8.39
0.03,0.97,35.15,0.19,107.34,116.99,98.49,9.25
0.03,0.97,35.11,0.17,105.28,113.87,97.34,8.26
0.03,0.97,35.35,0.29,117.31,134.06,102.65,15.71
0.03,0.97,35.73,0.32,139.69,161.99,120.45,20.77
