z,dist_mag,mag_ERR
0.1717,39.4603,0.2147
0.1726,39.5021,0.1774
0.1727,39.2676,0.1523
0.1730,39.7263,0.2526
0.1733,39.3871,0.1318
0.1737,39.5403,0.1832
0.1738,39.3493,0.1515
0.1739,39.5986,0.3185
0.1742,39.5734,0.1371
0.1742,39.3317,0.1543
0.1744,39.5053,0.1840
0.1744,39.5546,0.2310
0.1744,39.4849,0.1626
0.1750,39.7434,0.1820
0.1767,39.5164,0.1355
0.1771,39.5095,0.1756
0.1774,39.4771,0.1383
0.1779,39.3394,0.2574
0.1779,39.6477,0.1315
0.1785,39.9669,0.2079
0.1790,39.6410,0.1573
0.1791,39.7672,0.2015
0.1793,39.5355,0.2298
0.1795,39.5509,0.2806
0.1797,39.5519,0.1746
0.1798,39.5962,0.2089
0.1800,39.9979,0.2681
0.1805,39.3688,0.1376
0.1807,39.5035,0.1337
0.1808,39.7166,0.1792
0.1808,39.6391,0.1340
0.1809,39.6151,0.2462
0.1809,39.6213,0.2080
0.1813,39.6585,0.2260
0.1814,39.4868,0.1341
0.1815,39.3953,0.2352
0.1822,39.5863,0.2011
0.1823,39.5259,0.1499
0.1823,39.6885,0.1524
0.1825,39.7821,0.1773
0.1836,39.5995,0.2942
0.1838,39.6800,0.1516
0.1839,39.7520,0.1974
0.1840,39.7960,0.2184
0.1846,39.9384,0.2825
0.1846,39.7891,0.1427
0.1848,39.6548,0.2768
0.1849,39.6130,0.1349
0.1851,39.7435,0.1593
0.1852,39.6347,0.1604
