zHD,EXP_FAC,MU_SH0ES,MU_SH0ES_ERR_DIAG,D_L,D_L MAX,D_L MIN,SD
0.0210,0.9795,34.6956,0.2165,86.9201,96.0326,78.6722,8.6802
0.0211,0.9794,34.6693,0.2307,85.8737,95.4987,77.2187,9.1400
0.0212,0.9793,34.3750,0.2031,74.9894,82.3413,68.2939,7.0237
0.0212,0.9793,34.8194,0.1964,92.0195,100.7314,84.0611,8.3352
0.0212,0.9793,35.1180,0.3107,105.5845,121.8252,91.5088,15.1582
0.0212,0.9793,35.2056,0.3041,109.9310,126.4563,95.5651,15.4456
0.0213,0.9791,34.7561,0.1806,89.3758,97.1263,82.2438,7.4412
0.0213,0.9791,34.7344,0.1772,88.4871,96.0098,81.5539,7.2279
0.0213,0.9791,34.7419,0.1878,88.7933,96.8123,81.4384,7.6869
0.0213,0.9791,34.7627,0.3400,89.6479,104.8417,76.6559,14.0929
0.0214,0.9791,34.3468,0.1990,74.0219,81.1264,67.5395,6.7934
0.0215,0.9789,34.5899,0.1992,82.7904,90.7435,75.5344,7.6046
0.0215,0.9789,34.6114,0.3933,83.6142,100.2178,69.7614,15.2282
0.0217,0.9788,34.7709,0.1959,89.9870,98.4810,82.2257,8.1277
0.0218,0.9786,34.7583,0.2834,89.4664,101.9412,78.5182,11.7115
0.0218,0.9786,34.7742,0.2536,90.1239,101.2906,80.1883,10.5512
0.0220,0.9785,34.8589,0.2464,93.7087,104.9710,83.6547,10.6581
0.0220,0.9785,34.9654,0.2170,98.4192,108.7614,89.0606,9.8504
0.0220,0.9784,34.6739,0.2478,86.0558,96.4577,76.7756,9.8411
0.0221,0.9784,34.7477,0.1991,89.0307,97.5796,81.2309,8.1744
0.0221,0.9784,34.8847,0.1860,94.8287,103.3108,87.0431,8.1339
0.0222,0.9783,35.0481,0.2886,102.2398,116.7741,89.5145,13.6298
0.0222,0.9783,35.0136,0.2162,100.6283,111.1608,91.0937,10.0336
0.0223,0.9782,34.8059,0.1802,91.4492,99.3610,84.1674,7.5968
0.0223,0.9782,34.8234,0.2581,92.1892,103.8250,81.8574,10.9838
0.0223,0.9782,34.9245,0.1698,96.5828,104.4401,89.3167,7.5617
0.0223,0.9781,34.7727,0.1990,90.0617,98.7054,82.1749,8.2652
0.0223,0.9781,34.8704,0.2045,94.2063,103.5084,85.7401,8.8842
0.0224,0.9781,34.7814,0.2247,90.4232,100.2796,81.5356,9.3720
0.0224,0.9781,34.7714,0.3027,90.0078,103.4691,78.2977,12.5857
0.0224,0.9781,34.8603,0.2431,93.7692,104.8779,83.8371,10.5204
0.0224,0.9781,34.7590,0.2887,89.4953,102.2219,78.3531,11.9344
0.0224,0.9781,34.7997,0.2553,91.1885,102.5638,81.0748,10.7445
0.0224,0.9781,35.0392,0.2145,101.8216,112.3945,92.2433,10.0756
0.0226,0.9779,34.7306,0.2431,88.3324,98.7980,78.9754,9.9113
0.0227,0.9778,34.8438,0.2205,93.0593,103.0076,84.0718,9.4679
0.0227,0.9778,34.8693,0.2033,94.1586,103.3999,85.7433,8.8283
